analysis_set,analysis_tier,cohort,wave,n_classes,class,class_n,class_pct,mean_posterior,severity_mean,severity_sd,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,profile_label,high_domains_vs_class_severity,spared_domains_vs_class_severity
strict_earliest_primary,strict_primary,MHAS,1,5,5,520,7.72,0.9994,0.7182,0.573,1.5444,0.2831,0.6233,0.4219,high_burden_high_functional_spared_cognitive,functional,cognitive
strict_earliest_primary,strict_primary,SHARE,1,2,1,11907,75.74,0.9993,-0.22,0.4283,-0.366,-0.2122,-0.1839,-0.1178,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,2,2,3814,24.26,0.9966,0.6831,0.8307,1.1327,0.6603,0.5696,0.3698,high_burden_high_functional,functional,
strict_earliest_primary,strict_primary,SHARE,1,3,1,11894,75.66,0.9996,-0.2217,0.4252,-0.366,-0.2168,-0.1853,-0.1187,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,3,2,2335,14.85,0.9276,0.252,0.4821,0.2689,0.1446,0.344,0.2506,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,3,3,1492,9.49,0.9688,1.3635,0.8074,2.4716,1.4967,0.9271,0.5585,high_burden_high_functional_spared_affective_cardiometabolic_chronic,functional,affective;cardiometabolic_chronic
strict_earliest_primary,strict_primary,SHARE,1,4,1,6678,42.48,0.9708,-0.4235,0.3303,-0.3175,-0.2591,-0.2476,-0.8698,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,SHARE,1,4,2,5896,37.5,0.9994,0.0195,0.3939,-0.366,-0.1176,-0.084,0.6455,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,SHARE,1,4,3,2009,12.78,0.9219,0.439,0.4376,0.4449,0.2444,0.4764,0.5903,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,4,4,1138,7.24,0.9486,1.5971,0.7582,2.941,1.6908,1.0327,0.7241,high_burden_high_functional_spared_affective_cardiometabolic_chronic,functional,affective;cardiometabolic_chronic
strict_earliest_primary,strict_primary,SHARE,1,5,1,11894,75.66,0.9997,-0.2217,0.4252,-0.366,-0.2168,-0.1853,-0.1187,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,5,2,1381,8.78,0.9991,0.1842,0.4942,0.1001,0.154,0.2793,0.2035,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,5,3,365,2.32,0.9957,0.1958,0.4334,0.2568,0.0602,0.2918,0.1743,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,5,4,1087,6.91,0.8938,0.5931,0.4887,0.9105,0.3765,0.6473,0.4378,high_burden_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,5,5,994,6.32,0.95,1.6623,0.7655,3.1125,1.9384,0.9966,0.6016,high_burden_high_functional_spared_affective_cardiometabolic_chronic,functional,affective;cardiometabolic_chronic
