analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-25.335925,0.0,0.0,inf,0.998555
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,3.468292,32.0819,26.5488,38.7683,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,4.698635,109.7972,84.0752,143.3885,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-0.290369,0.748,0.6168,0.907,0.00316
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.385418,0.6802,0.5301,0.8728,0.00245
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.3.0],3.0,1,0.112977,1.1196,0.5678,2.2078,0.744344
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.4.0],4.0,1,-0.114988,0.8914,0.4289,1.8526,0.758038
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,-0.250388,0.7785,0.5713,1.0609,0.112791
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,-0.183989,0.8319,0.6829,1.0135,0.067679
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.8.0],8.0,1,-0.345047,0.7082,0.4977,1.0077,0.055225
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,-0.081128,0.9221,0.7313,1.1626,0.492759
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,-0.048078,0.9531,0.8144,1.1154,0.549062
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,age,age,1,-0.028781,0.9716,0.9628,0.9806,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,Intercept,Intercept,1,-6.824926,0.0011,0.0005,0.0022,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.106573,1.1125,0.9267,1.3354,0.252824
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.304785,1.3563,1.0591,1.7369,0.015723
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,0.670468,1.9552,1.5196,2.5155,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1,-0.258645,0.7721,0.5976,0.9976,0.047848
