analysis_set,analysis_tier,cohort,outcome,model_type,term,term_label,log_hr,hr,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.5]",5,-0.016169,0.984,0.8137,1.1898,0.867499
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,functional_score,functional_score,0.101395,1.1067,1.0498,1.1667,0.000167
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,cognitive_score,cognitive_score,0.156981,1.17,1.136,1.205,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,affective_score,affective_score,0.066319,1.0686,1.0369,1.1012,1.5e-05
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.356319,1.4281,1.378,1.4799,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype_plus_four_domains,age,age,0.087353,1.0913,1.0879,1.0947,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-0.016556,0.9836,0.8467,1.1426,0.828591
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.173542,1.1895,0.9319,1.5183,0.163453
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.284702,1.3294,1.0958,1.6127,0.003879
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.07493,1.0778,0.8851,1.3124,0.455838
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,functional_score,functional_score,0.121049,1.1287,1.0803,1.1792,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,cognitive_score,cognitive_score,0.110265,1.1166,1.0687,1.1666,1e-06
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,affective_score,affective_score,0.047001,1.0481,1.0028,1.0955,0.037065
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.232777,1.2621,1.1708,1.3605,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype_plus_four_domains,age,age,0.080499,1.0838,1.0787,1.089,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,functional_score,functional_score,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,cognitive_score,cognitive_score,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,affective_score,affective_score,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,,,,,
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,endotype_plus_four_domains,age,age,,,,,
