analysis_set,analysis_tier,cohort,wave,method,class,n,class_pct,mean_functional_score,mean_cognitive_score,mean_affective_score,mean_cardiometabolic_chronic_score
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,5,2041,20.00588119976475,0.7748158807671285,0.9540420126650021,1.1501146231181227,0.9377525994392614
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,selected_full_gmm_reference,1,1986,48.664543004165644,-0.18959869292607173,-0.18099169899329123,-0.1796705967462953,-0.8603369191414635
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,selected_full_gmm_reference,2,1428,34.99142367066895,-0.3014832105051944,-0.20648847193897327,-0.1477250212422084,0.5846901436777554
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,selected_full_gmm_reference,3,667,16.344033325165398,1.1216697886113358,0.9561359405251755,0.7199541583923529,1.2461251048890947
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,gmm_diag,1,1981,48.54202401372213,-0.19438524545096625,-0.1913717144689076,-0.18889523341006206,-0.8603369191414635
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,gmm_diag,2,1261,30.89928938985543,-0.35046197810910146,-0.3388477876265554,-0.2425023236091732,0.5684866670468243
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,gmm_diag,3,839,20.558686596422447,0.9154975517104957,0.9413850378554877,0.7061134393708983,1.1262688896199142
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,kmeans,1,1689,41.38691497182063,-0.40047021896784046,-0.45409053984787195,-0.3637523828174931,-0.8603369191414635
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,kmeans,2,1476,36.16760597892673,-0.25513082127431924,-0.2818804330281696,-0.23111449439263831,0.7571840093301953
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,kmeans,3,916,22.445479049252633,1.0852183540270117,1.2734083637045808,0.9475273542335845,0.31984640543283627
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,severity_quantile_k,1,1360,33.3251654006371,-0.5938690633455438,-0.6989888592654449,-0.681694960326312,-0.6773659156240812
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,severity_quantile_k,2,1360,33.3251654006371,-0.1970972076019847,-0.1851560090708286,-0.13041827212046056,-0.013664492487916015
