cohort,domain,variable,present,nonmissing,nonmissing_pct
MHAS,cardiometabolic_chronic,hibpe,1,75919,99.23
MHAS,cardiometabolic_chronic,diabe,1,75913,99.22
MHAS,cardiometabolic_chronic,hearte,1,31881,41.67
MHAS,cardiometabolic_chronic,stroke,1,76002,99.34
MHAS,cardiometabolic_chronic,hchole,0,0,0.0
MHAS,cardiometabolic_chronic,dyslipe,0,0,0.0
MHAS,cardiometabolic_chronic,bmi,1,62651,81.89
MHAS,cardiometabolic_chronic,mbmi,1,6791,8.88
MHAS,cardiometabolic_chronic,r1mbmi,0,0,0.0
MHAS,cardiometabolic_chronic,systo,1,2086,2.73
MHAS,cardiometabolic_chronic,diasto,1,2086,2.73
MHAS,cardiometabolic_chronic,r1systo,0,0,0.0
MHAS,cardiometabolic_chronic,r1diasto,0,0,0.0
MHAS,cardiometabolic_chronic,cancre,1,75961,99.29
MHAS,female_specific,mammog,1,41251,53.92
MHAS,female_specific,r1mammog,0,0,0.0
MHAS,female_specific,papsm,1,40885,53.44
MHAS,female_specific,r1papsm,0,0,0.0
MHAS,female_specific,hystere,1,17295,22.61
MHAS,female_specific,r1hystere,0,0,0.0
MHAS,female_specific,oophos1y,1,76477,99.96
MHAS,female_specific,oophos,0,0,0.0
MHAS,female_specific,child,1,76506,100.0
MHAS,female_specific,hchild,0,0,0.0
MHAS,female_specific,r1child,0,0,0.0
MHAS,inflammaging,bl_crp,0,0,0.0
MHAS,inflammaging,bl_wbc,0,0,0.0
MHAS,inflammaging,crp,0,0,0.0
MHAS,inflammaging,wbc,0,0,0.0
SHARE,time,wave,1,327266,100.0
SHARE,time,iwstat,1,327266,100.0
SHARE,time,radyear,1,44971,13.74
SHARE,time,radmonth,1,45397,13.87
SHARE,time,age,0,0,0.0
SHARE,time,agey,1,327248,99.99
SHARE,time,r1agey,0,0,0.0
SHARE,time,ragey_b,0,0,0.0
SHARE,time,ragey_e,0,0,0.0
SHARE,sex,ragender,1,327266,100.0
SHARE,functional,adltot6,0,0,0.0
SHARE,functional,adl6a,0,0,0.0
SHARE,functional,iadl,0,0,0.0
SHARE,functional,iadlfour,0,0,0.0
SHARE,functional,iadltot2_e,0,0,0.0
SHARE,functional,r1adltot6,0,0,0.0
SHARE,functional,r1iadltot_l,0,0,0.0
SHARE,functional,frailty,0,0,0.0
SHARE,functional,frailtya,0,0,0.0
SHARE,functional,frailtyb,1,259718,79.36
SHARE,functional,gripsum,0,0,0.0
SHARE,functional,gripcomp,1,322875,98.66
SHARE,functional,walkcomp,1,9042,2.76
SHARE,functional,fall,0,0,0.0
SHARE,functional,fall_down,0,0,0.0
SHARE,cognitive,total_cognition,0,0,0.0
SHARE,cognitive,cog_total,0,0,0.0
SHARE,cognitive,cogtot,0,0,0.0
SHARE,cognitive,cog27,0,0,0.0
SHARE,cognitive,r1cog_total,0,0,0.0
SHARE,cognitive,memory_z,0,0,0.0
SHARE,cognitive,orient_z,0,0,0.0
SHARE,cognitive,tcog_z_z,0,0,0.0
SHARE,cognitive,dementia,0,0,0.0
SHARE,cognitive,demene,0,0,0.0
SHARE,cognitive,alzdeme,1,295830,90.39
SHARE,affective,cesd,0,0,0.0
SHARE,affective,cesd10,0,0,0.0
SHARE,affective,cesd10a,0,0,0.0
SHARE,affective,cesd10b,0,0,0.0
SHARE,affective,r1cesd10,0,0,0.0
SHARE,affective,depressive,0,0,0.0
SHARE,affective,psyche,1,295252,90.22
SHARE,affective,r1psyche,0,0,0.0
SHARE,affective,sleep_night,0,0,0.0
SHARE,affective,satlifez,1,287203,87.76
SHARE,cardiometabolic_chronic,hibpe,1,326264,99.69
SHARE,cardiometabolic_chronic,diabe,1,326133,99.65
SHARE,cardiometabolic_chronic,hearte,1,326149,99.66
SHARE,cardiometabolic_chronic,stroke,1,326099,99.64
SHARE,cardiometabolic_chronic,hchole,1,326079,99.64
SHARE,cardiometabolic_chronic,dyslipe,0,0,0.0
SHARE,cardiometabolic_chronic,bmi,1,317368,96.98
SHARE,cardiometabolic_chronic,mbmi,0,0,0.0
SHARE,cardiometabolic_chronic,r1mbmi,0,0,0.0
SHARE,cardiometabolic_chronic,systo,0,0,0.0
SHARE,cardiometabolic_chronic,diasto,0,0,0.0
SHARE,cardiometabolic_chronic,r1systo,0,0,0.0
SHARE,cardiometabolic_chronic,r1diasto,0,0,0.0
SHARE,cardiometabolic_chronic,cancre,1,326084,99.64
SHARE,female_specific,mammog,0,0,0.0
SHARE,female_specific,r1mammog,0,0,0.0
SHARE,female_specific,papsm,0,0,0.0
SHARE,female_specific,r1papsm,0,0,0.0
SHARE,female_specific,hystere,0,0,0.0
SHARE,female_specific,r1hystere,0,0,0.0
SHARE,female_specific,oophos1y,1,215589,65.88
SHARE,female_specific,oophos,0,0,0.0
SHARE,female_specific,child,1,327266,100.0
SHARE,female_specific,hchild,0,0,0.0
SHARE,female_specific,r1child,0,0,0.0
SHARE,inflammaging,bl_crp,0,0,0.0
SHARE,inflammaging,bl_wbc,0,0,0.0
SHARE,inflammaging,crp,0,0,0.0
SHARE,inflammaging,wbc,0,0,0.0
