analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,Intercept,Intercept,-4.599996,0.0101,0.0062,0.0164,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,functional_score,functional_score,-0.655045,0.5194,0.476,0.5668,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cognitive_score,cognitive_score,0.295898,1.3443,1.2594,1.4349,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,affective_score,affective_score,0.341252,1.4067,1.3201,1.499,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.200687,1.2222,1.1517,1.2971,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,age,age,0.059168,1.061,1.0528,1.0692,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,Intercept,Intercept,-6.203939,0.002,0.0012,0.0034,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,functional_score,functional_score,-0.238889,0.7875,0.7275,0.8525,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cognitive_score,cognitive_score,0.211968,1.2361,1.1395,1.3409,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,affective_score,affective_score,0.262994,1.3008,1.2127,1.3954,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.175536,1.1919,1.1127,1.2768,1e-06
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,age,age,0.076757,1.0798,1.0715,1.0881,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,Intercept,Intercept,-4.344731,0.013,0.0093,0.0182,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,functional_score,functional_score,-0.248641,0.7799,0.7308,0.8322,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cognitive_score,cognitive_score,0.197282,1.2181,1.1583,1.281,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,affective_score,affective_score,0.224735,1.252,1.1935,1.3134,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.215778,1.2408,1.1824,1.3021,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,age,age,0.056619,1.0583,1.0531,1.0635,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,Intercept,Intercept,-4.41756,0.0121,0.0075,0.0193,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,functional_score,functional_score,-0.259789,0.7712,0.7093,0.8385,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cognitive_score,cognitive_score,0.071683,1.0743,1.0039,1.1496,0.038084
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,affective_score,affective_score,0.160624,1.1742,1.1004,1.2531,1e-06
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.278798,1.3215,1.2392,1.4093,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,age,age,0.053871,1.0553,1.0476,1.0631,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,Intercept,Intercept,0.264133,1.3023,0.7181,2.3619,0.384531
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,functional_score,functional_score,3.196364,24.4435,20.5539,29.0692,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cognitive_score,cognitive_score,-0.026855,0.9735,0.8828,1.0735,0.590472
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,affective_score,affective_score,0.113461,1.1201,1.0346,1.2128,0.005137
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.108269,1.1143,1.033,1.2021,0.005107
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,four_domain_scores,age,age,-0.038735,0.962,0.9531,0.971,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,Intercept,Intercept,-2.291747,0.1011,0.0628,0.1627,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.328679,1.3891,1.1919,1.6191,2.6e-05
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,-0.308623,0.7345,0.586,0.9206,0.00741
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,age,age,0.020592,1.0208,1.0134,1.0283,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,Intercept,Intercept,-4.612563,0.0099,0.0063,0.0156,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-0.26448,0.7676,0.6377,0.9239,0.005166
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,-0.801893,0.4485,0.3729,0.5393,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,age,age,0.063504,1.0656,1.0578,1.0734,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,Intercept,Intercept,-6.673305,0.0013,0.0008,0.002,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.166674,1.1814,0.9973,1.3994,0.053755
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.390178,1.4772,1.1743,1.8584,0.000864
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.750631,2.1183,1.68,2.671,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.5]",5,-0.06425,0.9378,0.7377,1.1922,0.599816
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,age,age,0.081805,1.0852,1.0775,1.0931,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,Intercept,Intercept,-4.901135,0.0074,0.0054,0.0102,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.515459,1.6744,1.5121,1.8542,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.651656,1.9187,1.6205,2.2718,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.614373,1.8485,1.5319,2.2306,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.347109,1.415,1.161,1.7245,0.000585
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,age,age,0.060062,1.0619,1.057,1.0669,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,Intercept,Intercept,-4.568638,0.0104,0.0067,0.0162,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.468165,1.5971,1.3798,1.8485,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.780183,2.1819,1.7863,2.665,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.193133,1.213,0.9199,1.5997,0.171251
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.397068,1.4875,1.1631,1.9022,0.001555
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,age,age,0.051913,1.0533,1.046,1.0606,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,Intercept,Intercept,-1.464925,0.2311,0.1423,0.3753,0.0
