analysis_set,analysis_tier,cohort,wave,method,target_classes,replicate_id,adjusted_rand_index_vs_full_fit,replicate_min_class_pct_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,43,0.8189380195055787,15.916265160325635,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,44,0.2718364424144934,14.337929888685826,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,45,0.2905017868255439,14.553912610068117,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,46,0.27137605379735463,14.271473666722049,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,47,0.27255571479444574,14.504070443595282,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,48,0.9389614882022745,15.567369995015785,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,49,0.9223687378571014,15.301545107160658,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,50,0.9711124109947765,15.667054327961456,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,51,0.28649510393334754,14.18840338926732,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,52,0.8706756862753489,15.235088885196877,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,53,0.9782734018735619,15.899651104834689,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,54,0.9356493606432169,15.849808938361853,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,55,0.26470530505429124,14.28808772221299,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,56,0.25279346607275344,13.590297391593287,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,57,0.9797220111334362,15.600598105997673,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,58,0.9596799966509774,15.46768566207011,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,59,0.8613687948350713,15.268316996178768,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,60,0.2747004003897527,15.019106163814588,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,61,0.271773118481586,14.686825053995682,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,62,0.9795220673516084,15.683668383452401,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,63,0.9626415238293172,15.766738660907128,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,64,0.7742451736650383,15.318159162651604,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,65,0.8791767385162965,15.633826216979566,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,66,0.9619248219926155,15.849808938361853,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,67,0.923244105593479,15.484299717561056,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,68,0.9855059734625883,15.700282438943347,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,69,0.2737955436194847,14.155175278285428,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,70,0.9806677254173011,15.683668383452401,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,71,0.936410242164075,15.351387273633494,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,72,0.2721757876415431,14.28808772221299,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,73,0.9272644454860642,15.683668383452401,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,74,0.9333869406619371,15.58398405050673,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,75,0.876086121877078,15.251702940687823,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,76,0.27430297430666173,14.819737497923244,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,77,0.27927398145913,14.520684499086228,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,78,0.901379269125414,15.500913773052002,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,79,0.26497359113445806,13.806280112975578,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,80,0.9177908579101055,15.451071606579166,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,81,0.9409781007588016,15.83319488287091,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,82,0.87443790796602,15.600598105997673,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,83,0.895595079974236,15.185246718724041,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,84,0.94211242487491,15.567369995015785,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,85,0.8770579661537052,15.43445755108822,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,86,0.889215044415631,16.015949493271307,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,87,0.9859071659040688,15.982721382289416,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,88,0.27584582966025567,14.055490945339757,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,89,0.8821104365008535,15.83319488287091,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,90,0.9278628920035679,15.849808938361853,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,91,0.27403399291907743,14.620368832031899,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,92,0.27478774545406126,15.550755939524837,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,93,0.9142289874059867,15.550755939524837,1,
